speech_parent_uid,speaker_id,chapter_id,utterance_id,selection_score,source_flac_path,source_file_sha256,source_duration,canonical_pcm_path,canonical_raw_pcm_sha256,canonical_sample_rate,canonical_channels,canonical_sample_width,canonical_sample_count,decoded_samples,center_crop_start
87eb2db98858bc75645b5499f9c3965b,1089,134686,0018,0153070c4900f7bcd403ab08ac28a2f5414ea9419676bc25e3d696d1d5b2a966,[REDACTED_LOCAL_PATH]\Tony Hidayat\AQ_OpenWorld_Codec_Provenance\39_bh_speech\extracted\LibriSpeech\test-clean\1089\134686\1089-134686-0018.flac,b8a5a3b85bee6bb8464083ed10da866d2a23be38a602e79c5de7362bddf992d6,15.72,[REDACTED_LOCAL_PATH]\Tony Hidayat\AQ_OpenWorld_Codec_Provenance\39_bh_speech\canonical_selected\1089-134686-0018.wav,da638d93e08e4bb1cde50384c58fe5ac23d9421552ff11b10f0f9803c74eaba5,48000,1,2,96000,754560,329280
3349ad840d45da2c0a85764e765d27a4,1188,133604,0000,04741c6ad02da6864c25d05172d20288293dfeaf7d62538e3ef573783c34479d,[REDACTED_LOCAL_PATH]\Tony Hidayat\AQ_OpenWorld_Codec_Provenance\39_bh_speech\extracted\LibriSpeech\test-clean\1188\133604\1188-133604-0000.flac,4a10149395cb5af8aa5d04ef3adb49b3980baa93114d0851046e6343744b26cb,10.725,[REDACTED_LOCAL_PATH]\Tony Hidayat\AQ_OpenWorld_Codec_Provenance\39_bh_speech\canonical_selected\1188-133604-0000.wav,4a676eafdc23581af9f37de20cc5f91c5c3ec8149b421f3967732145f303a1ee,48000,1,2,96000,514800,209400
c6b393a72c2bb059a9a651815f228fad,121,127105,0035,0219d71c67d17e9539e2ba4004cf6ef0dd8aae2f4640de39a0ebab9be6eb766f,[REDACTED_LOCAL_PATH]\Tony Hidayat\AQ_OpenWorld_Codec_Provenance\39_bh_speech\extracted\LibriSpeech\test-clean\121\127105\121-127105-0035.flac,7e293a1a5f64d336563f850f69929dd6b112e3ce37913f4422f2c29e9c55042d,14.15,[REDACTED_LOCAL_PATH]\Tony Hidayat\AQ_OpenWorld_Codec_Provenance\39_bh_speech\canonical_selected\121-127105-0035.wav,ebed30965722f7f4efb538ea3940f8297edae1bfbc1d36f18bfc3183cf249dce,48000,1,2,96000,679200,291600
149045ec18bf4a16f881d8c97540edd3,1221,135767,0023,027c45b2fb8243164bca516bae740f790c42b2af82ac4d1d5b64b77c01124aaa,[REDACTED_LOCAL_PATH]\Tony Hidayat\AQ_OpenWorld_Codec_Provenance\39_bh_speech\extracted\LibriSpeech\test-clean\1221\135767\1221-135767-0023.flac,e65215b8b44c0ce277cfed4699f8377fa30da1b915ac49b7f3e18e928943dee3,16.27,[REDACTED_LOCAL_PATH]\Tony Hidayat\AQ_OpenWorld_Codec_Provenance\39_bh_speech\canonical_selected\1221-135767-0023.wav,6821c2ea1820e162878294fb5281f01ec30d4cab35fcfd8aa32620bbda0ef4b1,48000,1,2,96000,780960,342480
0111310502705950a3918c910dd4975b,1284,1180,0018,1c3a5a50b069b3faf42446619836198939337d60165982979f22905dc8240bdb,[REDACTED_LOCAL_PATH]\Tony Hidayat\AQ_OpenWorld_Codec_Provenance\39_bh_speech\extracted\LibriSpeech\test-clean\1284\1180\1284-1180-0018.flac,59f74bee5d32c262d3dd703d50b3edac94c86de550ebd664bc8c5b9764c802f9,12.005,[REDACTED_LOCAL_PATH]\Tony Hidayat\AQ_OpenWorld_Codec_Provenance\39_bh_speech\canonical_selected\1284-1180-0018.wav,17ed0090e6b640ac03b0bcc5aface91967e9159aded68c589d85631c2a1b3281,48000,1,2,96000,576240,240120
98d0d0e20132d93fa15571ec4d1360df,1320,122612,0007,02676dea803a3dd13bd88d158291979807e23557ee6f440b8a358673a6d947ec,[REDACTED_LOCAL_PATH]\Tony Hidayat\AQ_OpenWorld_Codec_Provenance\39_bh_speech\extracted\LibriSpeech\test-clean\1320\122612\1320-122612-0007.flac,97643b60ec28fb0f90fd6cc11e4c51218b7f09f175266f0f8972d090173c2df3,5.54,[REDACTED_LOCAL_PATH]\Tony Hidayat\AQ_OpenWorld_Codec_Provenance\39_bh_speech\canonical_selected\1320-122612-0007.wav,ee11c250c5944cb5e6c84a61e8fb76766b2874882aac95b7dfa0a36c2cdcaa1c,48000,1,2,96000,265920,84960
a5e9b6421bc4ca18a3cdb0b75b6d9c07,1580,141083,0025,0004f0f8e3a33a36f21f4f29c1178668fa693f64ef68ff2f1e1d9e99ad25929e,[REDACTED_LOCAL_PATH]\Tony Hidayat\AQ_OpenWorld_Codec_Provenance\39_bh_speech\extracted\LibriSpeech\test-clean\1580\141083\1580-141083-0025.flac,030cc414b58faa87bfbfb16a51cdab3cbb2c8bd0d64cdb314e977eb34efa12df,3.905,[REDACTED_LOCAL_PATH]\Tony Hidayat\AQ_OpenWorld_Codec_Provenance\39_bh_speech\canonical_selected\1580-141083-0025.wav,b5cb298d08b5d352a8eb0c1e3d8cd24795a106ddd718073c66a285a79a0ea67c,48000,1,2,96000,187440,45720
39683aa347f485a905655d70396ab3aa,1995,1837,0027,16555de4e20781eee4637027462195ff6e4ba7ab9e70e580f98b1fdcf6171468,[REDACTED_LOCAL_PATH]\Tony Hidayat\AQ_OpenWorld_Codec_Provenance\39_bh_speech\extracted\LibriSpeech\test-clean\1995\1837\1995-1837-0027.flac,f97f44b700d270dbf8c78f46a2fdab768d6159c2b8c8d33da08188ea720ae19a,6.705,[REDACTED_LOCAL_PATH]\Tony Hidayat\AQ_OpenWorld_Codec_Provenance\39_bh_speech\canonical_selected\1995-1837-0027.wav,576fa1c7254532e253df5445194e4f06a545c9722890298bf13e386aae707160,48000,1,2,96000,321840,112920
ec9806beecbdb3159e264723dd09a309,2094,142345,0030,009a079f5e5c72a06550a1eca7de8fee9089c55753a233708103c1bae568256b,[REDACTED_LOCAL_PATH]\Tony Hidayat\AQ_OpenWorld_Codec_Provenance\39_bh_speech\extracted\LibriSpeech\test-clean\2094\142345\2094-142345-0030.flac,24221cbe436087c1ad3dadd80689e139a6834ea259ed221143adab05ae899e78,16.12,[REDACTED_LOCAL_PATH]\Tony Hidayat\AQ_OpenWorld_Codec_Provenance\39_bh_speech\canonical_selected\2094-142345-0030.wav,e5c40243fe8ce9afd3e163d82e57ddb0cecf9efbffbbffc35baf467156e16e30,48000,1,2,96000,773760,338880
920e6e65438e5ccf09ef2802e5daadfb,2300,131720,0003,02ba0d7a3e937f2e2fa2dad5d4c9ba6151dc5626f7a3ad38dee716fa5228a0cc,[REDACTED_LOCAL_PATH]\Tony Hidayat\AQ_OpenWorld_Codec_Provenance\39_bh_speech\extracted\LibriSpeech\test-clean\2300\131720\2300-131720-0003.flac,af78fe541e9f7b6f7f7fbdf0ef56a11c1ea10b7801b391b41a3b627f88402409,16.76,[REDACTED_LOCAL_PATH]\Tony Hidayat\AQ_OpenWorld_Codec_Provenance\39_bh_speech\canonical_selected\2300-131720-0003.wav,eeb96ee3fcd1fd199b73edb953614c2bf1847444ad5330b0fda37ad8c65d86e2,48000,1,2,96000,804480,354240
