parent_source_uid,source_file_sha256,source_relative_upstream_path,source_corpus,canonical_wav_path,canonical_file_sha256,canonical_raw_pcm_sha256,sample_rate,channels,sample_width_bytes,frame_count,duration_seconds,rms_audit,peak_audit,canonicalisation_status
7f02cc581b1479c5e634f9d783f4be7313bfff54e2a17ce923da60ace3b70fbc,7f02cc581b1479c5e634f9d783f4be7313bfff54e2a17ce923da60ace3b70fbc,controlled_freeze/pilot_selected_files_v1.1/FSDnoisy18k.audio_test/104225.wav,FSDnoisy18k,[REDACTED_LOCAL_PATH]\Tony Hidayat\AQ_OpenWorld_Codec_Provenance\02_canonical_pcm\7f02cc581b1479c5.wav,80bad20fc371d2758facc4349866045ade942519c1c820419eda58a8eefbdf80,e559745ac8bfdb613fe87843d6056d7cb69f35a0b974b41f017b17358cd4c140,48000,1,2,96240,2.005000000,1708.153599356,22227,OK
dcf33ec2245edfa2429911df1fec5e633566e44c80604fb87d15543b9f56d2cc,dcf33ec2245edfa2429911df1fec5e633566e44c80604fb87d15543b9f56d2cc,controlled_freeze/pilot_selected_files_v1.1/FSDnoisy18k.audio_test/157142.wav,FSDnoisy18k,[REDACTED_LOCAL_PATH]\Tony Hidayat\AQ_OpenWorld_Codec_Provenance\02_canonical_pcm\dcf33ec2245edfa2.wav,f219d875bf2ce486b58a50653fd3a441ee38c2a186540e6865387d10137eefb1,c31ef1406e04ba54c2455b6ed902b6e0ff7a57bb2dd9b25efdf8b773c1fd3469,48000,1,2,180361,3.757520833,14810.918120262,32768,OK
e0fb562eaaff1144c91fbe692a2385166420319157831ea3a0ae7a54bbc2252c,e0fb562eaaff1144c91fbe692a2385166420319157831ea3a0ae7a54bbc2252c,controlled_freeze/pilot_selected_files_v1.1/FSDnoisy18k.audio_test/178263.wav,FSDnoisy18k,[REDACTED_LOCAL_PATH]\Tony Hidayat\AQ_OpenWorld_Codec_Provenance\02_canonical_pcm\e0fb562eaaff1144.wav,c9f73542f6424eb2ffdd6e5b44a5c8d6602bf10ac9427a91b5932c3a3b565fd1,c8253ecb8095fa6bc25235eb71051582d1467a17a79c0ce740e473a84bcf0732,48000,1,2,181070,3.772291667,2764.769989132,31610,OK
adb1fa7c9dff5bc8a24e9d7c5523fc944358d0a1d28152aafaf800b9bdaf1f06,adb1fa7c9dff5bc8a24e9d7c5523fc944358d0a1d28152aafaf800b9bdaf1f06,controlled_freeze/pilot_selected_files_v1.1/FSDnoisy18k.audio_test/18340.wav,FSDnoisy18k,[REDACTED_LOCAL_PATH]\Tony Hidayat\AQ_OpenWorld_Codec_Provenance\02_canonical_pcm\adb1fa7c9dff5bc8.wav,dc58f145f412fae65a63e416ff86c89aa140d00192cd289a1085688049205d86,4a5dd4536f75a8ae4463e4476852c8210a89e1ab79dd04d6c0917c068dab8190,48000,1,2,218661,4.555437500,724.939911352,13747,OK
445dc2b06dad58cb836270c0151312a06b3d4f3868f5fff89f9b32a2659b5ca4,445dc2b06dad58cb836270c0151312a06b3d4f3868f5fff89f9b32a2659b5ca4,controlled_freeze/pilot_selected_files_v1.1/FSDnoisy18k.audio_test/210033.wav,FSDnoisy18k,[REDACTED_LOCAL_PATH]\Tony Hidayat\AQ_OpenWorld_Codec_Provenance\02_canonical_pcm\445dc2b06dad58cb.wav,2ea1ca674c6e8479060c98a101422dd0bf9a0303531c45b1f32085335a90df21,14793c6cddf33322ffa9220a2e6c1230395456d5727792508b558d0aa1f246fb,48000,1,2,414153,8.628187500,3318.991241609,21951,OK
ee9ca94ae39e5ad1a28ad0655e88b905dd5ea7a00d5ea4b144f5c70d74058406,ee9ca94ae39e5ad1a28ad0655e88b905dd5ea7a00d5ea4b144f5c70d74058406,controlled_freeze/pilot_selected_files_v1.1/FSDnoisy18k.audio_test/233049.wav,FSDnoisy18k,[REDACTED_LOCAL_PATH]\Tony Hidayat\AQ_OpenWorld_Codec_Provenance\02_canonical_pcm\ee9ca94ae39e5ad1.wav,8bf279c08896a0766c645479cc228d4e71602dd7ec10946028288bec04e6252e,25b80453c3aa52bdbe524d857484a8238bfb2a17cb0acc487099f19ab3ae2bd5,48000,1,2,135141,2.815437500,175.362010462,5972,OK
bba69d4910df2f3b3399a3e2c390d074453884a00485d572792855e184e62c7d,bba69d4910df2f3b3399a3e2c390d074453884a00485d572792855e184e62c7d,controlled_freeze/pilot_selected_files_v1.1/FSDnoisy18k.audio_test/235667.wav,FSDnoisy18k,[REDACTED_LOCAL_PATH]\Tony Hidayat\AQ_OpenWorld_Codec_Provenance\02_canonical_pcm\bba69d4910df2f3b.wav,522140819d108f8c2f92419e63df8305e07fe66b6581d21443842715b24bc77f,20ee6b90b2081bd1dbb4135a85eb0a1095a122423101974bc086ee4f19c3639e,48000,1,2,441365,9.195104167,286.203330076,2721,OK
f589e7b335ed8797e30cec874b04595fa8df4a0d850a32f5c363e27ef69fb1c9,f589e7b335ed8797e30cec874b04595fa8df4a0d850a32f5c363e27ef69fb1c9,controlled_freeze/pilot_selected_files_v1.1/FSDnoisy18k.audio_test/270793.wav,FSDnoisy18k,[REDACTED_LOCAL_PATH]\Tony Hidayat\AQ_OpenWorld_Codec_Provenance\02_canonical_pcm\f589e7b335ed8797.wav,66504bc73923ab5c905318dda4480250bf02e98c2687d25d2e00f57d5c746ebd,203e7db3a2f28b99b866eed47baf6eeb7372f4c7a2bff671db965397c2614c70,48000,1,2,1159426,24.154708333,2227.216012097,19644,OK
a1f7ee8556867bd622de523d5d1c30d422ebe2fe5d38f8b1d24b91f3ad41eedb,a1f7ee8556867bd622de523d5d1c30d422ebe2fe5d38f8b1d24b91f3ad41eedb,controlled_freeze/pilot_selected_files_v1.1/FSDnoisy18k.audio_test/339369.wav,FSDnoisy18k,[REDACTED_LOCAL_PATH]\Tony Hidayat\AQ_OpenWorld_Codec_Provenance\02_canonical_pcm\a1f7ee8556867bd6.wav,c8392ca741ac039c91ccba7756bcb172a4afee19ec1fe6735824b5f82d808dd6,4b688e2319d2f01ee7e64a01487cc3978a5365d41fd0d8695335d31c3672c093,48000,1,2,216000,4.500000000,1974.712444450,32615,OK
83a5c73b335ca563941e14ed904cf51214f6bc3d2f843a22abca89231559406a,83a5c73b335ca563941e14ed904cf51214f6bc3d2f843a22abca89231559406a,controlled_freeze/pilot_selected_files_v1.1/FSDnoisy18k.audio_test/348308.wav,FSDnoisy18k,[REDACTED_LOCAL_PATH]\Tony Hidayat\AQ_OpenWorld_Codec_Provenance\02_canonical_pcm\83a5c73b335ca563.wav,67638d98450fcf636399778d1e95d0f52331c92099f7939a9a0c969c9f18f897,965d971dbf475a89e69353c611f37f8a9a229aaccaa5a77301ac30161cb175d7,48000,1,2,384002,8.000041667,570.490654856,31247,OK
95d2889d63d6971fc89c480f6edd1c22b393c7cbf4892f83cb693e25f7e32f60,95d2889d63d6971fc89c480f6edd1c22b393c7cbf4892f83cb693e25f7e32f60,controlled_freeze/pilot_selected_files_v1.1/FSDnoisy18k.audio_test/368684.wav,FSDnoisy18k,[REDACTED_LOCAL_PATH]\Tony Hidayat\AQ_OpenWorld_Codec_Provenance\02_canonical_pcm\95d2889d63d6971f.wav,b19bfe9ddc68e089cf2e1829b02ef3f927e46c7091ec04bc91a7036632e9b95b,015f98e6c6ec727f29dd3cc0314e962bda10936b1ca95c091cf2a3ae94916648,48000,1,2,384000,8.000000000,478.435534108,32452,OK
0faac5fa7ad25b42a02bb3eeffbef682d2fdaaa94198147d707e8c8d573296e6,0faac5fa7ad25b42a02bb3eeffbef682d2fdaaa94198147d707e8c8d573296e6,controlled_freeze/pilot_selected_files_v1.1/FSDnoisy18k.audio_test/370931.wav,FSDnoisy18k,[REDACTED_LOCAL_PATH]\Tony Hidayat\AQ_OpenWorld_Codec_Provenance\02_canonical_pcm\0faac5fa7ad25b42.wav,3d43abddec5041639f5a3f1f1a27fb4fe5ed2b37e098f45af0c62e93557efb17,8a04a192732e4b505ef8fadc624d2f51cb8ef9dbd459d71ffb30132eb8b8e9a0,48000,1,2,150400,3.133333333,180.287957943,4305,OK
e74fb3cc5a2576bb55ae4bbd89c4dd3cf530462e832d5badea3d100aa685b339,e74fb3cc5a2576bb55ae4bbd89c4dd3cf530462e832d5badea3d100aa685b339,controlled_freeze/pilot_selected_files_v1.1/FSDnoisy18k.audio_test/38468.wav,FSDnoisy18k,[REDACTED_LOCAL_PATH]\Tony Hidayat\AQ_OpenWorld_Codec_Provenance\02_canonical_pcm\e74fb3cc5a2576bb.wav,0ac26a7673ad7d7daacacb5f725914b71172659da31b6ceae25e67496a34073f,e13c83a04d33d874e90971dcd05cc2d99a4a272805f40d6262f4fb01f1a847c3,48000,1,2,185731,3.869395833,1202.322851894,12225,OK
3598cf0af2f54259ebe25cbffbbf286ad873eff00b5bf9cf98378e869ff2db5f,3598cf0af2f54259ebe25cbffbbf286ad873eff00b5bf9cf98378e869ff2db5f,controlled_freeze/pilot_selected_files_v1.1/FSDnoisy18k.audio_test/418523.wav,FSDnoisy18k,[REDACTED_LOCAL_PATH]\Tony Hidayat\AQ_OpenWorld_Codec_Provenance\02_canonical_pcm\3598cf0af2f54259.wav,670ad833596bf90f229d6a27ee91bbe32733e01bdf51e502136d5e865510ddee,bb07e22cc243549fecccdf41e58749c9f0184b9f23a7041346584db605a45703,48000,1,2,126720,2.640000000,765.412854107,21745,OK
369dcc324d8e52bcd44272d513d10fe6e179bf6ef7226fb5127edc65c85cf188,369dcc324d8e52bcd44272d513d10fe6e179bf6ef7226fb5127edc65c85cf188,controlled_freeze/pilot_selected_files_v1.1/FSDnoisy18k.audio_test/5364.wav,FSDnoisy18k,[REDACTED_LOCAL_PATH]\Tony Hidayat\AQ_OpenWorld_Codec_Provenance\02_canonical_pcm\369dcc324d8e52bc.wav,f650a51538cfaaa29272461ad5dab8b5a5da69ada4aab6e2fcebec13fd3ab585,d44e9c475dccfa74c0b86fd0be6916ff8ffc90d2eafe9c6790aa90a42d7e38c2,48000,1,2,109807,2.287645833,11022.113422985,28438,OK
8e3243e80ccc9bb82a4183d011fba21bad4606f91d223040c1734789a8bbbeec,8e3243e80ccc9bb82a4183d011fba21bad4606f91d223040c1734789a8bbbeec,controlled_freeze/pilot_selected_files_v1.1/FSDnoisy18k.audio_test/56970.wav,FSDnoisy18k,[REDACTED_LOCAL_PATH]\Tony Hidayat\AQ_OpenWorld_Codec_Provenance\02_canonical_pcm\8e3243e80ccc9bb8.wav,bb9bad60ac2e7a492988a132a56af9259d5b992935d9d8d68cb2fd73d2ffc454,0f55b2859e0d0a48debe7b886d62656bfa78e3a3e4949b0ce032e9b4404d327d,48000,1,2,131674,2.743208333,2376.606440383,28053,OK
99ee8145fa3620b9bd6074de11a328fb2564b0d4b53414c0aca2623f432f3fbc,99ee8145fa3620b9bd6074de11a328fb2564b0d4b53414c0aca2623f432f3fbc,controlled_freeze/pilot_selected_files_v1.1/FSDnoisy18k.audio_test/60989.wav,FSDnoisy18k,[REDACTED_LOCAL_PATH]\Tony Hidayat\AQ_OpenWorld_Codec_Provenance\02_canonical_pcm\99ee8145fa3620b9.wav,61f7d820e9ef9acbe8902da0f3cfd5d8ea5af1458ea548f65910e93106a70700,b7d63f6a061df55319ff4193772df9a9d52a0a3c2196409a2bb3f9a4288b7acc,48000,1,2,276424,5.758833333,1236.692724566,17389,OK
bbd15d05ac7e0139ab6ad406b4de827a97278454ef140c874630d13ce5a5c21a,bbd15d05ac7e0139ab6ad406b4de827a97278454ef140c874630d13ce5a5c21a,controlled_freeze/pilot_selected_files_v1.1/FSDnoisy18k.audio_test/68718.wav,FSDnoisy18k,[REDACTED_LOCAL_PATH]\Tony Hidayat\AQ_OpenWorld_Codec_Provenance\02_canonical_pcm\bbd15d05ac7e0139.wav,9bcf7ec9ae64e8a493653e31399a27df5745d32d381bc586ebb440e7579f09c6,32e72c2ccf87b41c1f4a5d508aa1d1f7414afebdf06c4a7e1fec247b106434ad,48000,1,2,231829,4.829770833,664.018006173,11412,OK
0e40eca13f92456451a84af507f4d8fc056b6db66f304ced1f86525973125c5e,0e40eca13f92456451a84af507f4d8fc056b6db66f304ced1f86525973125c5e,controlled_freeze/pilot_selected_files_v1.1/FSDnoisy18k.audio_test/85550.wav,FSDnoisy18k,[REDACTED_LOCAL_PATH]\Tony Hidayat\AQ_OpenWorld_Codec_Provenance\02_canonical_pcm\0e40eca13f924564.wav,e8e65b74fad29a1a71825cd7e228d1159e09005ebb11f460a915d1611ef634df,3fa243d177e5ab405f8f897c6a18203b962f25d90f47c36e59af46fa3cbee3a2,48000,1,2,124736,2.598666667,928.741179516,6391,OK
0dd156b4733c791669875f97552bc9fd466264489c3676b782f38d907f267b89,0dd156b4733c791669875f97552bc9fd466264489c3676b782f38d907f267b89,controlled_freeze/pilot_selected_files_v1.1/FSDnoisy18k.audio_test/94993.wav,FSDnoisy18k,[REDACTED_LOCAL_PATH]\Tony Hidayat\AQ_OpenWorld_Codec_Provenance\02_canonical_pcm\0dd156b4733c7916.wav,fda3d8d83703ad039468f7c9593d54f6460a79cc05971bc2edd8721e9421e7c1,100c6f452fca6753181b1f0602a5bfa5a5e0f0f4fb0420f10ced07524e3ed847,48000,1,2,183536,3.823666667,699.884955660,30332,OK
